psa_mean_power,psa_low_high_ratio,filename,original_class_x,ridge_density,ridge_connectivity,ridge_entropy,ridge_noise_ratio,ridge_mean_strength,wavelet_density,wavelet_connectivity,wavelet_entropy,wavelet_noise_ratio,wavelet_mean_strength,grad_density,grad_connectivity,grad_entropy,grad_noise_ratio,grad_mean_strength,color_u_g,color_g_r,color_r_i,color_i_z,original_class_y,edge_segmentation_num_objects,edge_segment_area,edge_segment_perimeter,edge_segment_eccentricity,edge_segment_solidity,edge_segment_orientation,edge_segment_major_axis_length,edge_segment_minor_axis_length,edge_segment_aspect_ratio,edge_segment_mean_intensity,edge_segment_max_intensity,edge_segment_min_intensity,edge_segment_bbox_area,edge_segment_weighted_centroid_row,edge_segment_weighted_centroid_col,edge_segment_std_intensity,edge_segment_shape_index_mean,chanvese_segmentation_num_objects,chanvese_segment_area,chanvese_segment_perimeter,chanvese_segment_eccentricity,chanvese_segment_solidity,chanvese_segment_orientation,chanvese_segment_major_axis_length,chanvese_segment_minor_axis_length,chanvese_segment_aspect_ratio,chanvese_segment_mean_intensity,chanvese_segment_max_intensity,chanvese_segment_min_intensity,chanvese_segment_bbox_area,chanvese_segment_weighted_centroid_row,chanvese_segment_weighted_centroid_col,chanvese_segment_std_intensity,chanvese_segment_shape_index_mean,watershed_segmentation_num_objects,watershed_segment_area,watershed_segment_perimeter,watershed_segment_eccentricity,watershed_segment_solidity,watershed_segment_orientation,watershed_segment_major_axis_length,watershed_segment_minor_axis_length,watershed_segment_aspect_ratio,watershed_segment_mean_intensity,watershed_segment_max_intensity,watershed_segment_min_intensity,watershed_segment_bbox_area,watershed_segment_weighted_centroid_row,watershed_segment_weighted_centroid_col,watershed_segment_std_intensity,watershed_segment_shape_index_mean,edge_seg_error
198907539.76108488,250.9017670126756,1237645876861272095.jpg,STAR,0.00830078125,2,0.2266160317834347,0.98663330078125,0.1450958549976349,0.0435791015625,2,1.5073023278448128,0.9359130859375,0.0331272669136524,0.026611328125,4,1.011840912894005,0.9361572265625,0.0589358285069465,1.1192799999999998,0.5070699999999988,0.2304300000000019,0.146370000000001,STAR,1,122.0,39.798989873223334,0.3717117017221083,0.9384615384615385,0.5895993988147118,12.95797116181165,12.029509415600923,1.0771820125105531,159.95901639344262,237.0,94.0,169.0,65.05462464770689,60.5801178580579,43.58887614544199,0.6522496342658997,2,1269.0,215.61626970967632,0.5708880325490117,0.7996219281663516,-0.9397611440892623,45.80707361712045,37.60888662066822,1.2179853681695234,38.364854215918044,237.0,4.0,2107.0,65.53168327000103,61.01220088322892,46.95919856413312,-0.11933041,4,7816.0,505.1848122046001,0.6950168741497821,0.8679622431982232,-1.1804748381706163,126.32207214351472,90.8247392555841,1.3908333035566425,7.877686796315251,111.0,1.0,11970.0,48.32605729877217,57.65888715649971,11.277707087281964,0.0054818722,
862178892.8318614,1313.788392467684,1237645876861272098.jpg,STAR,0.00457763671875,1,0.1394017016391989,0.99517822265625,0.1002081558108329,0.1256103515625,1,2.71335694605552,0.767822265625,0.0659889876842498,0.020751953125,8,1.4413182593516116,0.90472412109375,0.0421332642436027,1.2098399999999998,0.43248,0.1745199999999993,0.0635900000000013,STAR,1,135.0,40.384776310850235,0.3365888023612171,0.9642857142857143,0.42407710938017934,13.506693349853224,12.718601141632842,1.061963748956688,186.9925925925926,246.0,129.0,169.0,65.15116463318016,53.97262715892885,38.244534113710415,0.6100678443908691,1,2534.0,205.2731239591687,0.5233265663601975,0.9413075780089153,0.005933961452584847,61.88569233647034,52.734791836960895,1.1735268156135157,61.41988950276243,246.0,17.0,3828.0,67.06860149834873,54.5165769285136,44.34948222500807,-0.03849208,4,8585.0,512.0426765808692,0.8241767201129401,0.8200401184449326,-1.557741336031035,152.22893299305463,86.21222357207618,1.7657465111752553,8.867909143855561,71.0,1.0,11214.0,45.083487672564395,56.95191183617712,8.825706410714247,-0.0063130674,
1222721920.868178,787.5583016666726,1237645876861272101.jpg,STAR,0.00439453125,1,0.0960050184673,0.99481201171875,0.1646526306867599,0.167724609375,2,2.921969454008994,0.71722412109375,0.0746813118457794,0.033935546875,6,1.700766613926311,0.87408447265625,0.0483522675931453,1.4042699999999986,0.5397100000000012,0.2468299999999992,0.053650000000001,STAR,1,202.0,56.04163056034261,0.8019982719667269,0.905829596412556,0.14567365485967135,21.115670265477423,12.612946306835413,1.6741267069403185,182.74752475247524,255.0,104.0,294.0,66.7758905593932,66.01649735879724,45.594647710161595,0.50567626953125,1,2844.0,226.17871555019022,0.5091032057440328,0.9097888675623801,-0.16420460675573134,65.44078011216371,56.32523815682184,1.1618376105212764,66.67158931082982,255.0,21.0,4690.0,67.50734123007794,66.57188815171875,45.635962700121915,-0.011858525,5,11596.0,749.6295090390225,0.7232542732338634,0.8138114955435469,0.7472015615990725,163.045577603902,112.59631244882145,1.4480543284045053,13.416436702311142,76.0,1.0,15876.0,67.7994819285627,62.97359506867982,12.828034564186776,-0.034964364,
391960448.3453002,385.8616086590208,1237645876861272105.jpg,STAR,0.01373291015625,5,0.3068808331278888,0.98089599609375,0.1504435688257217,0.07757568359375,2,1.8956800618418803,0.88812255859375,0.0497477613389492,0.05072021484375,11,1.3409322806156465,0.8887939453125,0.0858493074774742,1.0411,0.3703400000000005,0.1483600000000002,0.0222300000000004,STAR,1,137.0,41.384776310850235,0.3930831979737301,0.958041958041958,0.5564050563328643,13.78463031692835,12.675007674490645,1.0875441396908105,175.35766423357666,245.0,115.0,182.0,64.91279553779553,66.06868131868131,39.817051921774365,0.6138872504234314,2,1682.0,172.0243866176395,0.6202268971705566,0.9111592632719393,0.517542661081409,52.976609230739605,41.55604214447883,1.2748232626811435,56.85850178359096,245.0,10.0,2585.0,63.63707181396127,64.9903488226191,46.57084105189547,-0.066951424,5,12045.0,690.8599564173221,0.4741293580357803,0.8411312849162011,0.540193997008099,143.2352216907999,126.11219516226876,1.135776135737697,7.0252386882523865,86.0,0.0,15876.0,63.60786584573204,58.22511492690767,9.219829584687249,-0.03759307,
391980188.3813679,381.2835316164631,1237645876861272106.jpg,STAR,0.01409912109375,5,0.3154736168987795,0.98016357421875,0.1417844146490097,0.07733154296875,2,1.8904040226151213,0.8887939453125,0.0495510660111904,0.05328369140625,11,1.3463800060508486,0.88873291015625,0.087652213871479,3.43516,0.7521000000000022,1.1429599999999986,0.7429200000000016,STAR,1,139.0,41.79898987322333,0.39055118905926584,0.9391891891891891,0.5717920342531093,13.859842144559066,12.75911028586764,1.0862702675993503,174.431654676259,246.0,115.0,182.0,76.37639198218262,66.01010475954797,40.018889489428396,0.6076706051826477,2,1727.0,172.2670273047588,0.6401333216249289,0.9225427350427351,0.4610499932077618,54.25256610426971,41.68028486023743,1.3016361641046774,55.63867979154603,246.0,11.0,2679.0,75.25914786445759,64.97210890017485,46.54931534030115,-0.07287534,3,15306.0,604.6690475583121,0.063691512828069,0.9640967498110355,-1.3136768703967643,148.0778866210156,147.7772343745823,1.0020344963668169,6.25421403371227,88.0,0.0,15876.0,68.84510117312774,62.36442174099261,8.967790313793406,-0.013204279,
288103915.8394436,238.42068038470475,1237645876861272107.jpg,STAR,0.0133056640625,5,0.2773333467389919,0.9814453125,0.1834411025047302,0.0596923828125,2,1.4883599334604134,0.91424560546875,0.0465858429670333,0.039794921875,5,1.0636465718733843,0.91888427734375,0.0936088040471077,-0.1446199999999997,3.05913,1.372040000000002,0.6067599999999977,STAR,1,133.0,41.798989873223334,0.4044827080451378,0.9432624113475178,0.8998952805016972,13.62842451461814,12.463816303732052,1.0934391347325432,176.95488721804512,248.0,116.0,169.0,87.62179732313575,120.13329084342469,39.79720484794233,0.6594980359077454,2,1431.0,168.22539674441617,0.8567507672496579,0.9298245614035088,0.2233593562255883,60.13011858292966,31.01094627624137,1.9389965738967974,56.248078266946195,248.0,8.0,1952.0,86.13435042427103,115.85807108869315,50.71847822730277,-0.028319232,4,14707.0,542.4680374315355,0.3708328140375586,0.9528344671201814,0.5036623950201374,146.31423852322942,135.88198085583863,1.0767744008564217,5.085197524988101,89.0,0.0,15876.0,72.63799005187998,83.58221907257848,8.09714529844748,0.007877623,
139180106.21888894,478.9967286315518,1237645876861272110.jpg,STAR,0.01361083984375,4,0.3021700615299099,0.97808837890625,0.1474416106939315,0.04833984375,3,1.527871897395986,0.92755126953125,0.0360223799943923,0.05291748046875,11,1.249763911940053,0.90203857421875,0.0718277469277381,1.1046399999999998,0.0227299999999992,-0.0393899999999973,-0.0549200000000027,STAR,1,143.0,40.97056274847714,0.1824752346575087,0.9862068965517241,0.0,13.595556657936475,13.367293377904362,1.017076252729623,127.93006993006993,186.0,69.0,169.0,64.96474253853722,59.10883349732153,36.757502511789355,0.6432369947433472,2,1563.0,215.30256121069152,0.8751302477534783,0.8069179143004647,-0.5517081611562726,67.92206270419088,32.866632681911874,2.0665963368243605,33.755598208573254,186.0,3.0,2940.0,55.79529946929492,65.09420015163002,38.205681683931424,-0.07673223,4,11469.0,598.5929291125633,0.7371650304721693,0.8441778301192404,-0.9485356665644742,161.04451831447201,108.81983402528597,1.4799188011723197,4.744441538059116,100.0,0.0,15876.0,65.03660822582424,70.13329290256183,8.182928827206574,0.007714657,
490311882.9841308,622.9325602821514,1237645876861272114.jpg,STAR,0.01953125,4,0.443374667540005,0.973388671875,0.1279822289943695,0.0985107421875,3,2.265253478055312,0.84320068359375,0.0543697513639926,0.05865478515625,15,1.709043150714458,0.86273193359375,0.063874714076519,1.4985700000000008,0.586660000000002,0.2307899999999989,0.1271599999999999,STAR,1,153.0,43.21320343559643,0.36449855975532486,0.9622641509433962,0.6190545484296494,14.472239338534154,13.47660646412502,1.073878604161925,162.37908496732027,233.0,109.0,196.0,64.67163097729834,63.166358074384156,36.56867593027446,0.6182856559753418,3,1944.0,186.75230867899737,0.7808894464682378,0.9187145557655955,-1.5056479565927368,63.65005172605765,39.76023009959849,1.600847167297968,55.33847736625514,233.0,11.0,2542.0,65.69793080369593,56.108163379129564,41.67608092345508,-0.06455742,5,7472.0,551.3980156401965,0.5543579241827491,0.7877701634159199,1.439834631520639,120.94197219380183,100.65738797073018,1.2015210669779166,8.818923982869379,77.0,1.0,12400.0,76.35415433644434,70.99341376432203,9.138521809080235,-0.0984549,
412893672.6660469,293.9875570299216,1237645876861272116.jpg,STAR,0.01788330078125,4,0.3895052337889511,0.97467041015625,0.1317691206932068,0.08892822265625,3,2.031630911689873,0.87109375,0.0527465157210826,0.05377197265625,16,1.5291092641026771,0.877685546875,0.0642083510756492,1.2248699999999992,1.1342700000000008,1.7453199999999995,0.9341100000000004,STAR,1,153.0,43.21320343559643,0.2619261606621229,0.9683544303797469,0.6710995196645674,14.205451080904904,13.709509185041815,1.0361750292566418,162.43790849673204,231.0,105.0,196.0,65.2700277632479,27.29364664225647,36.34112707655393,0.6197329163551331,2,1612.0,167.0538238691624,0.618619235660545,0.9312536106296938,-1.473343384826412,51.788803856292475,40.6899935902315,1.2727651023451003,60.425558312655085,231.0,11.0,2050.0,65.90001642609285,22.598074040613515,43.319017329637205,-0.032148838,4,12669.0,613.5218613006978,0.6360244928834697,0.870961088959164,0.5296422700828226,158.29458124743283,122.15100058963613,1.295892628659018,6.2589786092035675,76.0,0.0,15876.0,68.06758307585598,51.292502679866324,7.16733503786228,-0.052327324,
284098465.34299403,415.3564469431256,1237645876861272117.jpg,STAR,0.0137939453125,3,0.3246577106361765,0.98040771484375,0.1421413272619247,0.06036376953125,3,1.680384520023612,0.91363525390625,0.0423422008752822,0.0416259765625,9,1.240892850154495,0.9061279296875,0.0623207651078701,0.7702400000000011,1.0130899999999985,0.6650600000000004,0.2916200000000017,STAR,1,160.0,47.11269837220809,0.38962032644624345,0.935672514619883,1.3754244720285023,14.928243240196089,13.74854733277446,1.085805131179889,160.34375,231.0,100.0,240.0,50.18561683882284,9.218514909374392,37.31538671831635,0.6483854055404663,3,1218.0,148.66904755831214,0.7160426600517587,0.9319051262433052,-0.112342683455467,48.24097776755101,33.67492919558866,1.4325487512493558,57.70935960591133,231.0,8.0,1666.0,50.80294494238156,11.369383980651586,49.3576398534732,-0.0008575928,3,15445.0,540.3847763108502,0.24844048110807046,0.9728521038044847,-0.24449410913334732,147.45060580635288,142.82761106993405,1.0323676542776818,5.513111039171253,75.0,0.0,15876.0,61.205425719318846,49.773869641808574,7.473516834095518,-0.0039057818,
