psa_mean_power,psa_low_high_ratio,filename,original_class,ridge_density,ridge_connectivity,ridge_entropy,ridge_noise_ratio,ridge_mean_strength,wavelet_density,wavelet_connectivity,wavelet_entropy,wavelet_noise_ratio,wavelet_mean_strength,grad_density,grad_connectivity,grad_entropy,grad_noise_ratio,grad_mean_strength,color_u_g,color_g_r,color_r_i,color_i_z
17285748.543550037,92.45182829983432,1237645876861338364.jpg,GALAXY,0.00616455078125,1,0.24227074553103667,0.990234375,0.038747817277908325,0.11224365234375,17,2.7037441564327525,0.2757568359375,0.07548979669809341,0.02935791015625,4,1.761970320476936,0.92962646484375,0.03767476975917816,-0.48567999999999856,1.0521399999999979,0.6453200000000017,0.50854
22310298.66140522,36.40383847848642,1237645876861338365.jpg,GALAXY,0.00311279296875,2,0.1326687589913323,0.9962158203125,0.06399136036634445,0.197265625,18,2.434038695333393,0.169677734375,0.08669228106737137,0.01617431640625,5,1.5426493966287693,0.947021484375,0.03187181055545807,-0.5127900000000025,1.285820000000001,0.3322000000000003,0.7302500000000016
23114820.820124578,46.18307326132013,1237645876861338366.jpg,GALAXY,0.0169677734375,3,0.32671588294665643,0.9803466796875,0.07938289642333984,0.0291748046875,2,1.901072125985037,0.9046630859375,0.03858773037791252,0.048583984375,2,1.8143314693936028,0.91650390625,0.04687171056866646,0.3086599999999997,0.6928200000000011,0.5600899999999989,0.3970300000000009
12154928.193893626,91.96390064754324,1237645876861338367.jpg,GALAXY,0.21392822265625,55,2.02826785913129,0.751953125,0.1606314331293106,0.94476318359375,1,2.893676164266804,0.05511474609375,0.23302333056926727,0.47442626953125,76,3.8210017896775796,0.22418212890625,0.11829585582017899,-0.21343000000000245,1.644210000000001,-0.29576000000000136,0.89968
56459153.19383041,133.40029046033243,1237645876861338369.jpg,GALAXY,0.01397705078125,2,0.2280163681089886,0.98406982421875,0.2600291669368744,0.02740478515625,2,1.4177248671801506,0.95977783203125,0.03223508596420288,0.04278564453125,4,0.9661108774688824,0.92828369140625,0.06924907863140106,3.126619999999999,2.033520000000003,0.9674499999999995,0.5711399999999998
81832397.18930371,325.8640718720913,1237645876861338377.jpg,GALAXY,0.010009765625,6,0.24615466359256308,0.9822998046875,0.18860302865505219,0.031494140625,3,1.0732882129201862,0.95062255859375,0.030848491936922073,0.032958984375,4,0.956192180512444,0.931640625,0.06882308423519135,2.2746999999999993,1.907350000000001,-0.7333099999999995,0.9786999999999999
27655741.7155018,36.263326643164014,1237645876861338378.jpg,GALAXY,0.0081787109375,3,0.16340950590571773,0.9879150390625,0.2665952742099762,0.01873779296875,3,1.138415280103819,0.96826171875,0.02979358844459057,0.0360107421875,3,0.7282976902695069,0.949951171875,0.0698406919836998,-0.4660900000000012,0.7293599999999998,0.04247000000000156,0.3999699999999997
31791182.99138349,99.01646878252032,1237645876861338380.jpg,GALAXY,0.0137939453125,5,0.39414971367102847,0.9796142578125,0.04835446923971176,0.20758056640625,23,2.7111999687805346,0.1429443359375,0.08150971680879593,0.05047607421875,5,1.973199881066472,0.892333984375,0.0427832193672657,-0.029999999999997584,1.3308099999999996,0.11505999999999972,-0.12100000000000222
72091592.58337963,211.14786480141208,1237645876861338382.jpg,GALAXY,0.00640869140625,1,0.13847899104967437,0.98956298828125,0.22836320102214813,0.01983642578125,1,0.991141760537659,0.97137451171875,0.024559738114476204,0.01824951171875,4,0.6226408023130964,0.95849609375,0.06798478215932846,-0.6935700000000011,1.668960000000002,-1.4836100000000023,3.3410200000000003
73724015.83993338,135.5198713057381,1237645876861338383.jpg,GALAXY,0.00799560546875,4,0.23438442004216364,0.98699951171875,0.14161914587020874,0.04052734375,3,1.9849373502942642,0.905517578125,0.040792834013700485,0.02740478515625,9,1.0190409054279292,0.94097900390625,0.03579547256231308,0.1508800000000008,0.8266099999999987,0.05116999999999905,0.3441200000000002
39119966.61246496,17.97064048528951,1237645876861338384.jpg,GALAXY,0.01556396484375,4,0.2490980459736887,0.98358154296875,0.25193285942077637,0.02801513671875,4,1.509590198012618,0.93988037109375,0.03843371197581291,0.05792236328125,7,1.1277770656626105,0.90618896484375,0.074262835085392,-0.6891800000000003,3.2885300000000015,0.7164099999999998,0.743979999999997
32225172.45476304,36.09655714694171,1237645876861338391.jpg,GALAXY,0.0032958984375,1,0.10179481714768376,0.99639892578125,0.11837214976549149,0.14691162109375,22,2.4528048309615516,0.330322265625,0.07361207902431488,0.014404296875,2,1.4116812132505516,0.9541015625,0.030662234872579575,0.12010000000000076,1.0534299999999988,0.7428799999999995,-0.7269900000000007
31685322.79758205,29.163531868964185,1237645876861338394.jpg,GALAXY,0.00714111328125,3,0.18727820362776634,0.9912109375,0.11674156785011292,0.13165283203125,19,2.584402188680189,0.26446533203125,0.07799534499645233,0.0301513671875,8,1.5812779942627238,0.9254150390625,0.03706882894039154,-0.28125,0.8935099999999991,0.4716799999999992,-1.50563
33685578.448648706,16.9072936437485,1237645876861338395.jpg,GALAXY,0.00616455078125,2,0.1258192449171756,0.9910888671875,0.21351392567157745,0.0140380859375,2,1.293801442792607,0.97271728515625,0.02873579040169716,0.02630615234375,2,0.7362024466561311,0.9599609375,0.0404827706515789,0.03819000000000017,1.5239399999999996,0.186160000000001,0.4306399999999968
37890101.3498184,22.11468478657821,1237645876861338397.jpg,GALAXY,0.009765625,3,0.19977005032981585,0.99005126953125,0.16179883480072021,0.1920166015625,18,2.7326038540704443,0.2353515625,0.0843537226319313,0.03753662109375,10,1.7236914197221087,0.90972900390625,0.04300040751695633,0.8741500000000002,1.44998,0.5778800000000004,0.3096199999999989
36386769.731238656,40.63835834795862,1237645876861338399.jpg,GALAXY,0.00732421875,2,0.1940414952062712,0.98846435546875,0.1560710072517395,0.041015625,5,2.2824534422253384,0.69818115234375,0.04741106927394867,0.0350341796875,6,1.2722079517385914,0.93218994140625,0.03819148615002632,3.0191300000000005,1.44379,0.7417900000000017,0.6946200000000005
21868326.711107034,29.21938943332212,1237645876861338401.jpg,GALAXY,0.00457763671875,1,0.09704545565283756,0.99395751953125,0.28329145908355713,0.01239013671875,3,2.1875560371143146,0.731201171875,0.04471671208739281,0.0185546875,1,0.8906314775952119,0.9669189453125,0.032464053481817245,2.100339999999999,1.1733499999999992,0.3158100000000026,-0.7066100000000013
